timestamp_x,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp,time,timestamp_y,latitude,longitude,altitude_m,satellites,hdop,speed_knots,pdop,vdop
1760823047,-1.3455413330078123,1.0031704956054688,-9.55047042236328,-2.618320610687023,-0.8549618320610687,1.0229007633587786,28.24764705882353,86,1760723478.0,3402.75143 N,08407.11365 W,307.5,8.0,0.98,0.387,1.83,0.98
1760823048,-1.3431471313476562,0.9409212524414062,-9.536105212402344,-2.977099236641221,-0.7709923664122137,1.0305343511450382,28.953529411764706,87,1760723479.0,3402.75152 N,08407.11354 W,307.6,8.0,0.98,0.121,1.83,0.98
1760823049,-1.3670891479492189,0.9241618408203124,-9.524134204101562,-2.885496183206107,-0.9923664122137404,1.083969465648855,28.341764705882355,88,1760723480.0,3402.75170 N,08407.11347 W,307.7,8.0,0.98,0.326,1.83,0.98
1760823050,-1.3455413330078123,0.9648632690429688,-9.392453112792968,-3.053435114503817,-0.9694656488549618,1.1450381679389312,27.541764705882358,89,1760723481.0,3402.75174 N,08407.11345 W,307.7,8.0,0.98,0.149,1.83,0.98
1760823051,-1.3407529296874998,0.9504980590820312,-9.488221179199218,-2.854961832061069,-0.9083969465648856,0.9618320610687024,28.294705882352943,90,1760723482.0,3402.75166 N,08407.11343 W,307.7,8.0,0.98,0.121,1.83,0.98
1760823052,-1.3766659545898436,0.9935936889648436,-9.466673364257812,-2.954198473282443,-0.9236641221374046,1.0534351145038168,28.341764705882355,91,1760723483.0,3402.75145 N,08407.11338 W,307.8,8.0,0.98,0.213,1.83,0.98
1760823053,-1.2282254516601565,0.9696516723632812,-9.622296472167967,-2.816793893129771,-0.8625954198473282,1.1297709923664123,28.341764705882355,92,1760723484.0,3402.75123 N,08407.11331 W,307.8,8.0,0.98,0.297,1.83,0.98
1760823054,-1.4053963745117186,1.0079588989257813,-9.483432775878908,-3.068702290076336,-1.083969465648855,1.0534351145038168,28.24764705882353,93,1760723485.0,3402.75095 N,08407.11312 W,307.9,8.0,0.98,0.162,1.82,0.98
1760823055,-1.3144167114257812,0.995987890625,-9.624690673828123,-2.969465648854962,-0.6793893129770993,0.916030534351145,28.294705882352943,94,1760723486.0,3402.75081 N,08407.11291 W,307.9,8.0,0.98,0.134,1.82,0.98
1760823056,-1.3934253662109377,1.0103531005859374,-9.540893615722656,-3.0916030534351147,-0.916030534351145,1.1984732824427482,28.294705882352943,95,1760723487.0,3402.75081 N,08407.11276 W,307.9,8.0,0.98,0.124,1.82,0.98
1760823057,-1.24498486328125,1.0199299072265624,-9.476250170898435,-2.946564885496183,-1.0076335877862594,1.1221374045801529,28.341764705882355,96,1760723488.0,3402.75065 N,08407.11278 W,307.9,8.0,0.98,0.138,1.82,0.98
1760823058,-1.3096283081054687,1.0175357055664065,-9.540893615722656,-2.9083969465648853,-0.8015267175572519,1.068702290076336,28.294705882352943,97,1760723489.0,3402.75080 N,08407.11281 W,307.9,8.0,0.98,0.459,1.82,0.98
1760823059,-1.3623007446289062,0.9864110839843748,-9.502586389160156,-3.0610687022900764,-1.015267175572519,1.1603053435114503,28.294705882352943,98,1760723490.0,3402.75080 N,08407.11278 W,308.0,8.0,0.98,0.212,1.82,0.98
1760823060,-1.3862427612304686,1.0103531005859374,-9.579200842285156,-2.6717557251908395,-0.916030534351145,1.076335877862595,28.294705882352943,99,1760723491.0,3402.75081 N,08407.11273 W,308.0,8.0,0.98,0.285,1.82,0.98
1760823061,-1.2306196533203124,0.9720458740234376,-9.651026892089844,-2.870229007633588,-1.1450381679389312,1.1450381679389312,27.541764705882358,100,1760723492.0,3402.75085 N,08407.11274 W,308.0,8.0,0.98,0.227,1.82,0.98
1760823062,-1.3718775512695311,1.0031704956054688,-9.490615380859374,-2.862595419847328,-0.8015267175572519,1.068702290076336,28.341764705882355,101,1760723493.0,3402.75085 N,08407.11267 W,308.1,8.0,0.98,0.141,1.82,0.98
1760823063,-1.3455413330078123,0.9457096557617188,-9.423577734375,-2.66412213740458,-0.900763358778626,1.068702290076336,28.24764705882353,102,1760723494.0,3402.75090 N,08407.11263 W,308.2,8.0,0.98,0.293,1.82,0.98
1760823064,-1.37906015625,0.97683427734375,-9.583989245605467,-3.3053435114503817,-0.9236641221374046,1.16793893129771,28.294705882352943,103,1760723495.0,3402.75093 N,08407.11266 W,308.2,8.0,0.98,0.137,1.82,0.98
1760823065,-1.302445703125,0.9050082275390624,-9.507374792480467,-1.9694656488549616,-1.0229007633587786,0.9541984732824428,28.24764705882353,104,1760723496.0,3402.75099 N,08407.11273 W,308.3,8.0,0.98,0.143,1.82,0.98
1760823066,-1.47482822265625,0.9983820922851562,-9.49300958251953,-3.145038167938931,-1.083969465648855,1.1450381679389312,28.388823529411766,105,1760723497.0,3402.75099 N,08407.11284 W,308.3,8.0,0.98,0.13,1.82,0.98
1760823067,-1.3431471313476562,1.0342951171875,-9.55047042236328,-2.931297709923664,-1.0,1.0534351145038168,28.341764705882355,106,1760723498.0,3402.75103 N,08407.11284 W,308.4,8.0,0.98,0.183,1.82,0.98
